2026-03-14T16:21:41.286695Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:47.721891Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:21:53.422241Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:22:00.362667Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:23:07.219019Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:14.057219Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:20.995827Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:23:27.808486Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:24:11.773209Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:24:19.026941Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:24:26.784245Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:24:34.925669Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:25:37.161703Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:42.753104Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:44.770364Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:50.301950Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:52.410276Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:58.016503Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:25:59.408037Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:26:04.383730Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:26:40.317985Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:26:47.644780Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:26:55.118335Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:27:03.828315Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:27:11.712097Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:27:18.480520Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:27:25.927174Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:27:33.397738Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:28:10.489499Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:28:18.080350Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:28:25.757573Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:28:33.946188Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:28:41.610700Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:28:49.068413Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:28:57.354240Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:29:05.119377Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:29:26.953314Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:29:34.985366Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:29:43.708592Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:29:51.848688Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:30:28.362286Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:30:36.563426Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:30:44.192067Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:30:52.197035Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:31:00.050347Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:31:07.642258Z | ETHUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:31:13.509034Z | SOLUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
2026-03-14T16:31:18.711725Z | MATICUSDT | session:NewYork | regime:sideways | strategy:grid | decision:none
2026-03-14T16:31:32.307176Z | BTCUSDT | session:NewYork | regime:high_volatility | strategy:volatility_mean_reversion | decision:none
